,상호명,상권업종소분류명,경도,위도,법정동명
209904,앞선영어학원,학원-외국어/어학,127.06502211560499,37.5017571869571,대치동
209909,캉스어학원,학원-외국어/어학,127.141382929142,37.550444404783704,천호동
209930,현대영어,학원-외국어/어학,126.90799400475201,37.571006473546205,중동
209939,해커스어학원,학원-외국어/어학,127.023995020511,37.497893199134296,서초동
209944,이주연영어,학원-외국어/어학,127.057078652885,37.6609627165363,상계동
209985,쟌과마이클어학원,학원-외국어/어학,127.009257830783,37.491994761973,서초동
210073,쎄듀,학원-외국어/어학,127.041737590318,37.4785485803107,양재동
210140,윤선생영어교실,학원-외국어/어학,126.906956953348,37.4955076593991,대림동
210164,윤선생영어교실,학원-외국어/어학,126.95091572257,37.534191712555206,산천동
210407,에스엠유에스,학원-외국어/어학,127.046991052515,37.669855920080295,도봉동
210645,통문장영어,학원-외국어/어학,126.897530756176,37.5351290266999,양평동4가
210682,더베스트영어학원,학원-외국어/어학,126.944486694746,37.5054451220309,상도동
210739,해커스어학원제1별관,학원-외국어/어학,127.024699341679,37.4985207440857,서초동
210811,대학로외국어학원,학원-외국어/어학,127.00026958672899,37.5859252903768,명륜2가
210819,에듀모스트어학원,학원-외국어/어학,127.05238374056002,37.501278034814,대치동
210888,랭귀지큐브,학원-외국어/어학,126.89731593463699,37.48591201804379,구로동
210890,서강대학교SLP영어학당,학원-외국어/어학,126.83974536105801,37.560750421429205,등촌동
211018,지스터디,학원-외국어/어학,127.062660635268,37.4997651570964,대치동
211073,에듀플러스학원,학원-외국어/어학,126.964021966854,37.5968486427304,부암동
211102,영독어학원,학원-외국어/어학,127.059525073144,37.4837554609109,개포동
211123,삼육외국어학원,학원-외국어/어학,126.927792255314,37.5118003170167,대방동
211206,캠벨아카데미,학원-외국어/어학,127.030953921703,37.527351855838106,신사동
211247,월스트리트잉글리쉬어학원강남센터,학원-외국어/어학,127.025481611828,37.5001130565393,서초동
211262,선일CMS영어스쿨,학원-외국어/어학,126.917784292383,37.6195992196458,갈현동
211529,SLP영어학원,학원-외국어/어학,127.010125941943,37.5906216871995,동소문동4가
211688,이스턴영어,학원-외국어/어학,127.084222473628,37.5418694055336,구의동
211893,잉글리쉬채널,학원-외국어/어학,126.930514794837,37.519177531271,여의도동
211995,제임스정,학원-외국어/어학,127.030488822456,37.525699115054,신사동
215761,ETBT영어학원,학원-외국어/어학,126.837445522234,37.5186224559112,신월동
215875,지엔비다산학원,학원-외국어/어학,126.946833621671,37.48410218003529,봉천동
220557,파고다외국어학원,학원-외국어/어학,126.94517134116998,37.556432324062,대흥동
220721,에프알엠코리아,학원-외국어/어학,126.926816587563,37.5246403547364,여의도동
220963,쿠키어학원,학원-외국어/어학,127.02566734574499,37.4997451561771,서초동
221255,다이렉트잉글리쉬,학원-외국어/어학,126.983312623474,37.5656331860355,을지로2가
221304,코리아헤럴드쥬니어영어전문학원,학원-외국어/어학,126.863515410741,37.5554673089009,등촌동
221775,차이홍스퀘어,학원-외국어/어학,126.811741657407,37.5608503161008,공항동
222362,이안어학원,학원-외국어/어학,127.011544173893,37.5012767517201,반포동
223646,플라토어학원,학원-외국어/어학,126.926281293541,37.582473214786894,홍은동
224396,JS스포큰영어,학원-외국어/어학,126.81118411991899,37.578126417762604,방화동
224827,강서영어도서관,학원-외국어/어학,126.86060258646201,37.534922654552496,화곡동
225477,버나비잉글리쉬,학원-외국어/어학,126.916812070429,37.5608699565516,성산동
225520,위즈브레인영어학원,학원-외국어/어학,126.840159245527,37.5208927209761,신월동
225566,YBM시사압구정센터,학원-외국어/어학,127.02955245525601,37.5272412323827,신사동
225695,레알스페인어학원,학원-외국어/어학,127.029263750169,37.4988737095725,역삼동
225794,뮤엠영어,학원-외국어/어학,127.05998696806101,37.578549854318204,전농동
225891,엘릿트리,학원-외국어/어학,127.013165738544,37.4975148933081,서초동
225892,한미교육원,학원-외국어/어학,127.029581894014,37.499633209809396,역삼동
226026,서울강남어학원,학원-외국어/어학,126.918453296757,37.4730872444909,신림동
226073,서일영어은진영어교습소,학원-외국어/어학,126.91952507493001,37.6323737323016,진관동
226172,노원에스엘피영어학원,학원-외국어/어학,127.062595052234,37.6467973747271,상계동
226199,미키어학원,학원-외국어/어학,127.02905482833499,37.50016050130579,역삼동
226218,아발론랭콘잉글리쉬,학원-외국어/어학,126.91852318601102,37.6342747302578,진관동
226285,오라클영어교습소,학원-외국어/어학,126.97228871976299,37.577900006971,통의동
226352,패스영어보습학원,학원-외국어/어학,127.15353601325701,37.553595740812504,명일동
226393,잉글리쉬무무태랑학원,학원-외국어/어학,127.090035337036,37.6249457867885,공릉동
226497,씨엘아이영어학원,학원-외국어/어학,127.02659326136101,37.4989868928539,서초동
226501,멘토플러스영어학원,학원-외국어/어학,127.049845423512,37.5248652723946,청담동
226516,아이콘잉글리쉬,학원-외국어/어학,127.102014435945,37.5180019310243,신천동
226654,예일영어교습소,학원-외국어/어학,127.062973394068,37.499172940488,대치동
226676,쑥쑥영어마을영어교습소,학원-외국어/어학,126.919620259533,37.4705569564862,신림동
226949,RTS,학원-외국어/어학,126.967554893844,37.5205793791891,이촌동
227008,레알스페인어학원홍대점,학원-외국어/어학,126.923859692452,37.556420204195106,동교동
227054,키즈잉글리쉬,학원-외국어/어학,127.109517357084,37.507291088014,송파동
227055,파라미타영어교습소,학원-외국어/어학,127.022087433182,37.5236205043974,신사동
227154,서초렉스김어학원,학원-외국어/어학,127.01708246310601,37.488600069590994,서초동
227494,글로벌어학원,학원-외국어/어학,126.902325711168,37.520630886300204,영등포동6가
227613,와이비엠시사영어학원,학원-외국어/어학,126.89901760364401,37.5009393197272,대림동
227621,일륜학원,학원-외국어/어학,126.845150334715,37.545693091733206,화곡동
227631,해법영어,학원-외국어/어학,127.025678102627,37.5076204586282,논현동
227697,쎈잉글리쉬무무학원,학원-외국어/어학,127.06415324201001,37.642728054098704,중계동
227921,이브레인어학원,학원-외국어/어학,127.082596362941,37.650432610674,중계동
228010,염경해법영어교습소,학원-외국어/어학,126.86733277528799,37.554503844556706,염창동
228084,강태우어학원도봉지점학원,학원-외국어/어학,127.03528484203899,37.6591015576942,쌍문동
228109,스위트북스영어학원,학원-외국어/어학,127.037741652462,37.6496427631101,창동
228285,잉글리시에그강서센터,학원-외국어/어학,126.840482624445,37.5599197053739,등촌동
228409,GMB어학원,학원-외국어/어학,127.097783805809,37.5414692085849,광장동
228433,이비영어학원,학원-외국어/어학,127.022087433182,37.5236205043974,신사동
228434,잉글리쉬무무공릉2학습관학원,학원-외국어/어학,127.07063503499901,37.627236394479,공릉동
228439,JH영어교실,학원-외국어/어학,127.023304898617,37.5595193358913,하왕십리동
228581,아토플래닝,학원-외국어/어학,127.037669083139,37.65877864102811,쌍문동
228616,이에스영어교습소,학원-외국어/어학,127.034883106974,37.554307383658795,응봉동
228625,신청운외국어학원,학원-외국어/어학,127.08157528533998,37.555643940805204,능동
228985,알유티씨영어교습소,학원-외국어/어학,126.85774075614201,37.536354686071,화곡동
229053,잉글리쉬메카학원,학원-외국어/어학,127.03947929361999,37.64318750137279,창동
229169,ADD플러스영어,학원-외국어/어학,127.03377130447599,37.6578277252226,쌍문동
229278,WP오토플렌,학원-외국어/어학,127.07436453444599,37.5612281993171,중곡동
229291,플라이잉글리쉬영어학원,학원-외국어/어학,126.872386972973,37.5202587306893,신정동
229456,THEENGLISHFRI,학원-외국어/어학,127.030764591945,37.66244336876021,방학동
229465,PSS박상식영어교습소,학원-외국어/어학,127.094292788555,37.539135787742,구의동
229501,라임영어학원,학원-외국어/어학,126.928395037487,37.6158756919789,불광동
229536,리더스앤스토리,학원-외국어/어학,127.004380642122,37.583301968658205,동숭동
229636,엘영어학원,학원-외국어/어학,126.913609720924,37.6215701521514,갈현동
229829,사피엔시아에듀케이션서비,학원-외국어/어학,127.052143370606,37.5167111824813,삼성동
230125,메가엠디신촌,학원-외국어/어학,126.937178124601,37.556621941500296,창천동
230554,교학사영어랩인왕영어교습소,학원-외국어/어학,126.949852820109,37.5865597361568,홍제동
230640,리앤슨영어학원,학원-외국어/어학,127.006946269606,37.618572202239,정릉동
230694,엘리스,학원-외국어/어학,127.03875765169501,37.6429113134426,창동
230789,키다리영어학원,학원-외국어/어학,127.057410043936,37.4982005914457,대치동
230792,마포서강해법영어교습소,학원-외국어/어학,126.931343961226,37.548279709700296,창전동
230863,제스영어교습소,학원-외국어/어학,126.999981793077,37.504954844778396,반포동
230985,이이영어교습소,학원-외국어/어학,126.83890156434799,37.4830456870721,천왕동
231247,해법영어정릉교실,학원-외국어/어학,127.006946269606,37.618572202239,정릉동
231277,영단기강남학원본관,학원-외국어/어학,127.02445043318899,37.502005770208704,서초동
231302,스페로우잉글리쉬영어학원,학원-외국어/어학,126.96955303365299,37.6071688688009,평창동
231321,금호벽산해법영어교습소,학원-외국어/어학,127.02626027588998,37.5515965174155,금호동1가
231331,이아이이구로구일어학,학원-외국어/어학,126.876775062474,37.4893857660007,구로동
231836,BLUEPRINT영어전문학,학원-외국어/어학,127.02938885381501,37.655809476600204,쌍문동
232592,강남지성학원,학원-외국어/어학,127.06234669274299,37.4832642837732,개포동
232614,와이즈비어학원이촌캠퍼스,학원-외국어/어학,126.96932592969,37.5209462564373,이촌동
232625,개포피에스에이어학학원와이비엠에듀케이션,학원-외국어/어학,127.062662459113,37.4851409934329,개포동
232771,석선생영어전문STE학원,학원-외국어/어학,127.032027303449,37.657723323629604,쌍문동
232783,엘에스영어교습소,학원-외국어/어학,126.954846535228,37.5435884130674,신공덕동
232852,김영편입노원지점,학원-외국어/어학,127.061290144538,37.6532384073941,상계동
233078,해법영어중마교습소,학원-외국어/어학,127.07973521519399,37.565378967293704,중곡동
233080,에스티에스영어,학원-외국어/어학,127.096613228693,37.5381353714762,구의동
233173,EDM아이엘츠,학원-외국어/어학,127.02445043318899,37.502005770208704,서초동
233347,옙영어교습소,학원-외국어/어학,127.02626027588998,37.5515965174155,금호동1가
233853,키스톤어학원,학원-외국어/어학,126.95287667236099,37.5347497435354,원효로4가
237111,TTR어학원,학원-외국어/어학,126.869426140152,37.520807089918,신정동
237116,이닷스프릿어학원서초원,학원-외국어/어학,127.009963717085,37.4890632402031,서초동
237142,페디아플러스이촌점,학원-외국어/어학,126.97192735048701,37.5201579867796,이촌동
237199,덕스어학원압구정,학원-외국어/어학,127.0271721475,37.5249690214802,신사동
237236,제이포커스잉글리시,학원-외국어/어학,126.98716194282301,37.5011603163542,반포동
237681,박정현어학원,학원-외국어/어학,126.921048245303,37.5983197298652,응암동
237730,알리샤하우스,학원-외국어/어학,127.029996040142,37.651822899048796,쌍문동
238462,DYB최선어학원송파캠퍼스,학원-외국어/어학,127.123407747834,37.510125197171504,방이동
238624,다움영어도서관,학원-외국어/어학,127.08286082416299,37.4941118834706,일원동
238857,점프잉글리쉬어학원,학원-외국어/어학,126.928064105949,37.51098283273829,대방동
240410,윤선생영어숲관악,학원-외국어/어학,126.963156341906,37.476263225778204,봉천동
240411,윤선생영어숲양천북학원,학원-외국어/어학,126.86885281268101,37.5355516043085,목동
240939,엠씨아이,학원-외국어/어학,127.039371269123,37.5255914881524,신사동
241156,파이토플러스,학원-외국어/어학,127.11005728608299,37.5513477848906,광장동
241330,서래GGE영어학원,학원-외국어/어학,126.988241815657,37.495727214449396,방배동
241495,에이프릴어학원,학원-외국어/어학,126.86881902233101,37.5205579957556,신정동
241545,에이앤씨,학원-외국어/어학,126.86881902233101,37.5205579957556,신정동
243154,E&F영어학원,학원-외국어/어학,126.91866962106899,37.5897471578497,응암동
244832,에이스어학원,학원-외국어/어학,126.910443954626,37.60019556655121,신사동
247346,스피아영어전문어학원,학원-외국어/어학,127.025041727898,37.567814296570795,상왕십리동
247376,목동외국어학원,학원-외국어/어학,126.863527760427,37.5225976088363,신정동
247512,인스토리영어학원,학원-외국어/어학,127.05062858695801,37.538053957891705,성수동1가
248320,YBM잉글루,학원-외국어/어학,127.06793744552799,37.4892284833684,개포동
249295,탑시크릿고교영어학원,학원-외국어/어학,127.06880684486,37.4893344557036,개포동
250181,KD영어전문학원,학원-외국어/어학,127.00834453598301,37.4832378515139,서초동
250205,BOB학원,학원-외국어/어학,126.917784292383,37.6195992196458,갈현동
250408,쥬빌리프라임어학원,학원-외국어/어학,127.131290247429,37.4877920437727,문정동
250507,청담어학원관악캠퍼스,학원-외국어/어학,126.945145365874,37.489979990775105,봉천동
251308,서은경영어교습소,학원-외국어/어학,126.89588262183001,37.5762910109591,상암동
251947,정철어학원,학원-외국어/어학,126.932751791321,37.5193779758413,여의도동
252063,랭콘잉글리쉬영등포어학원,학원-외국어/어학,126.90707381800199,37.5301538844618,당산동
252120,잉글리쉬무무,학원-외국어/어학,127.144604239628,37.494322786726606,거여동
252270,제네시스영어학원,학원-외국어/어학,127.057288637623,37.501560565068395,대치동
252515,청담어학원,학원-외국어/어학,126.99485975415199,37.491341515156705,방배동
252770,청담어학원,학원-외국어/어학,127.054751675688,37.5224717984896,청담동
253412,고려클리닉영어학원,학원-외국어/어학,127.13655241762501,37.529666869671004,성내동
253580,이박원어학원,학원-외국어/어학,127.125185039487,37.5119404928362,방이동
253685,듀크어학원,학원-외국어/어학,127.067342561003,37.4997841933633,대치동
253990,YBM어학원E4U종로센터,학원-외국어/어학,126.988394402793,37.5698666855626,종로2가
254284,JHS영재영어,학원-외국어/어학,126.989463503692,37.4948636501092,방배동
254502,킹스키즈어학원,학원-외국어/어학,127.070319567012,37.4986633162754,대치동
254792,박부휘영어학원,학원-외국어/어학,127.14426005806999,37.534381438808204,둔촌동
255123,나브학원,학원-외국어/어학,127.06449087378701,37.500824892065204,대치동
255236,알아이에스키즈어학원,학원-외국어/어학,127.037004248824,37.4914492860916,역삼동
255539,레벨업아카데미,학원-외국어/어학,127.040379313536,37.4919272779363,도곡동
255728,이챕터스강남언주점,학원-외국어/어학,127.039750939296,37.488011583688,도곡동
256162,마스터영어학원,학원-외국어/어학,127.17077182723999,37.5506364331465,상일동
256315,EIE천동학원,학원-외국어/어학,127.135492647397,37.537182942476704,길동
256798,콤마스영어,학원-외국어/어학,127.17253450594299,37.5508920841752,상일동
257002,종로유학원,학원-외국어/어학,126.922872397977,37.55581651541421,동교동
257497,랭콘잉글리쉬송파캠퍼스,학원-외국어/어학,127.123701299496,37.5130738399482,방이동
257509,강태우어학원도봉캠퍼스,학원-외국어/어학,127.027706789989,37.6561740574271,쌍문동
259698,문법의신영어,학원-외국어/어학,127.012690860711,37.5944635800327,돈암동
259934,참영어전문,학원-외국어/어학,127.06880684486,37.4893344557036,개포동
260507,QHT초중고영어,학원-외국어/어학,127.012690860711,37.5944635800327,돈암동
260730,애니스잉글리쉬,학원-외국어/어학,127.06880684486,37.4893344557036,개포동
260731,강남예일영어,학원-외국어/어학,127.06880684486,37.4893344557036,개포동
261039,챌린저영어,학원-외국어/어학,127.012690860711,37.5944635800327,돈암동
261346,kj영어학원,학원-외국어/어학,127.06880684486,37.4893344557036,개포동
262613,디렉트잉글리시,학원-외국어/어학,127.032338622524,37.4980969980106,역삼동
265650,엘리트리에스비어학원,학원-외국어/어학,127.013165738544,37.4975148933081,서초동
266300,612어학원,학원-외국어/어학,127.024498668666,37.4974288106161,서초동
266636,청담아이가르텐어학원,학원-외국어/어학,127.054751675688,37.5224717984896,청담동
267631,지앤비영어전문교육아벨켐퍼스,학원-외국어/어학,126.95708751478399,37.4809673731284,봉천동
268614,해커스어학원,학원-외국어/어학,126.98721243681999,37.5718838944696,인사동
